SampleCollectionEquipmentName,n
NA,32750035
Probe/Sensor,6568740
Water Sampler (Other),6194882
Unknown,5120273
Miscellaneous (Other),1715089
Water Bottle,654738
Seabird CTD profiler,353767
WSWB,88291
Weighted-bottle sampler,81139
Bucket,78759
US DH-81,76995
Grab sample,61578
US DH-81 with Teflon cap and nozzle,37721
Open-Mouth Bottle,35417
Other,26730
Syringe,21621
Semipermeable Membrane Device,15649
US WBH-96 weighted-bottle sampler,14908
"Sampler, point, automatic",14759
US DH-95 plastic bottle,14007
"Sampler, US DH-48",13689
US D-96 bag sampler,12532
Van Dorn sampler,11145
US DH-95 Teflon bottle,10549
Kemmerer Bottle,10006
US P-61,9048
Pump/Submersible,8783
US D-74 TM,8435
Van Dorn Bottle,8023
Peristaltic pump,7578
"Sampler, US P-61-A1",7544
"Sampler, US D-74AL",6732
Visual Sighting,6456
US D-95 plastic bottle,6322
"Sampler, US D-74",5884
US D-77 TM,5534
US D-95 Teflon bottle,4744
Suction pump,4380
MSOTH,4319
"Sampler, US DH-59",4285
None,4132
WSOTH,3629
WSBK,3550
Kemmerer bottle,3533
Rosette Sampler,2814
"Sampler, US D-49",2813
"Sampler, US D-77",2336
US DH-2 Bag Sampler,2291
US D-96-A1 Bag Sampler,2119
Vinyl Tube,1832
WSPB,1386
US DH-48 TM,1273
"BL-3X3 in, H-S, 50-100 lb, Exp. Ratio 3.22, Cable Susp",1248
"Sampler, frame-type, plastic bottle w/Teflon collaps. bag",1165
Pump/Rotary,1063
Churn Splitter,1019
US D-99 Bag Sampler,967
"Sampler, US DH-76",884
"Sampler, frame-type, Teflon bottle",864
Pump/Bailer,856
"Sampler, US P-72",836
US DH-76 TM with Teflon gasket and nozzle,795
Meteorological Data,770
"BL-3X3 in, BL-84, Exp. Ratio 1.40, Cable Susp",685
US DH-59 TM,578
US D-77 TM modified Teflon bag sampler,521
US DH-48 TM with Teflon gasket and nozzle,493
"BL-3X3 in, BLH-84, 1/4-in thick nozzle,  Exp. Ratio 1.4, Wading",486
Phytoplankton-water bottle,472
Open-top bailer,452
US DH-59 TM with Teflon gasket and nozzle,446
"BL-3X3 in, H-S, 1/4-in thick nozzle,  Exp. Ratio 3.22, Wading",416
"Sampler, US P-63",370
Double-valve bailer,351
Mulitple samplers used,318
Benthic Grab (Other),251
US DH-76 TM,247
"Sampler, US DH-75Q",242
Hester-Dendy,229
VOC hand sampler,229
US D-74 AL-TM with Teflon gasket and nozzle,207
Niskin Bottle,183
Dip Net,156
Submersible positive-pressure pump,146
"Automatic microbiology sampler/analyzer, point",141
US D-74 AL-TM,141
"BL-3X3 in, H-S, 100-200 lb,   Exp. Ratio 3.22, Cable Susp",132
Sewage sample,128
Thief sampler,125
"BL-4X8 in, Elwha R., Exp. Ratio 1.40, Cable Susp",119
"Bedload-Helley-Smith, 3 x 3, area ratio 3.22",119
Diaphragm pump,119
Turbidity Tube,89
WSVD,69
"Sampler, US D-49AL",67
Generic Passive diffusion sampler,66
"US P-6, 100 lb. Point-Integrating sampler, replaces P-61-A1",64
Velocity integrated sample,62
"3x3 inch H-S, sheet metal nozzle, wading",57
Submersible centrifugal pump,56
"Sampler, US DH-75P",49
"Sampler, frame-type, plastic bottle",48
"BL-6X6 in H-S, 1/4-in nozzle, 150-200 lb, Exp. Ratio 3.22, Cable Susp",37
"3x3 inch FIASP, 1/4-in thick nozzle, 50-100lb, Exp. Ratio 3.22, Cable Susp",36
Submersible helical rotor pump,35
WSKM,35
"Bedload-Helley-Smith, 6 x 6, area ratio 3.22",34
"Sampler, US RBMH-80",32
"Sampler, D-77 TM, with Reynolds Oven Collapsible Bag",25
Submersible gear pump,21
"Sampler, US P-46",18
Periphyton-natural substrate,17
"Sampler, US D-43",17
"Sampler, US PS-69TM",17
Storm Water Sampler,17
"Sampler, US BMH-60",13
"FIASP, 3 x 3, area ratio 1.40",12
"Sampler, US BMH-53",12
"Sampler, frame-type, plastic bottle with Reynolds Oven Bag",12
Pump/Peristaltic,8
"Sampler, US BM-54",8
US P-61 AL-TM,8
Benthic invertebrate-net,6
Gas lift,6
Zooplankton net,6
Benthic invertebrate-natural substrate,5
US P-61 TM,5
"Sampler, US U-59",4
Pram Electroshock,3
"Sampler, US CS-77",3
Secchi Disk,3
Turbidimeter,3
A-Frame Net,2
"Bedload-Toutle River type 1, 6 x 6, area ratio 3.22",2
Bladder pump,2
Jet pump,2
Pump/Non-Submersible,2
BGPONPT,1
Bed Material -- Box Core Grab,1
Bed Material -- Scoop Shovel,1
"Benthic invertebrate-mechanical, grab",1
Flowing well,1
Gas reciprocating pump,1
Hess Sampler,1
Original Surber Sampler,1
Phytoplankton net,1
Polar-organic continuous integrated sampler (POCIS) passive diffusion sampler,1
"Sampler, US BM-54TM",1
"Sampler, US BMH-53TM",1
"Sampler, US BMH-60TM",1
